,Stations,Address,lat,lng
145,CRONULLA Fire Station,"91 The Kingsway, Cronulla NSW 2230",-34.0495876,151.1475565
146,ENGADINE Fire Station,"8 Preston Avenue, Engadine NSW 2233",-34.067474,151.0134109
147,HURSTVILLE Fire Station,"5-9 Butler Rd, Hurstville NSW 2220",-33.9678443,151.1017066
148,KOGARAH Fire Station,"26 Gray Street, Kogarah NSW 2217",-33.9667119,151.1324231
149,MAROUBRA Fire Station,"Cnr Maroubra Road & Flower Street, Maroubra NSW 2035",-33.9427286,151.2472442
150,MASCOT Fire Station,"139-141 Coward Street, Mascot NSW 2020",-33.9259275,151.1965163
151,MATRAVILLE Fire Station,"Cnr Beauchamp & Bunnerong Roads, Matraville NSW 2036",-33.9556077,151.2301754
152,MENAI Fire Station,"297 Menai Road, Menai NSW 2234",-34.0149837,151.0122088
153,MIRANDA Fire Station,"242 Port Hacking Road, Miranda NSW 2228",-34.0303842,151.1066676
154,MORTDALE Fire Station,"38 Morts Road, Mortdale NSW 2223",-33.9700515,151.0798461
155,RANDWICK Fire Station,"4 The Avenue, Randwick NSW 2031",-33.9101488,151.2415973
156,RIVERWOOD Fire Station,"136A Belmore Road, Riverwood NSW 2210",-33.9564067,151.0517524
157,SUTHERLAND Fire Station,"2 Moore Street, Sutherland NSW 2232",-34.0327141,151.0551868
158,BUSBY Fire Station,"101 Cartwright Avenue, Busby NSW 2168",-33.918877,150.8845399
159,CAMDEN Fire Station,"129 Macarthur Road, Camden (Elderslie) NSW 2570",-34.0645122,150.7114737
160,CAMPBELLTOWN Fire Station,"66 Broughton Street, Campbeltown NSW 2560",-34.0668812,150.8203031
161,HORNINGSEA PARK Fire Station,"162 Greenway Drive, Horningsea Park NSW 2171",-33.9435646,150.8368138
162,INGLEBURN Fire Station,"41 Carlisle Street, Ingleburn NSW 2565",-33.9983994,150.8671827
163,LIVERPOOL Fire Station,"Anzac Road corner Delfin Drive, Moorebank NSW 2170",-33.944924,150.9319319
164,MACQUARIE FIELDS Fire Station,"8 Brooks Street, Macquarie Fields NSW 2564",-33.9854035,150.8905144
