s,m3/s,m3/s,C,C,C
Time,"E_01","E_02","TMP_01","TMP_02","TMP_03"
 8.8003367E+001,-2.0000000E+000,-4.0000000E+000, 6.0564937E+001, 2.8880524E+001, 4.4272350E+001
 8.9013975E+001,-2.0000000E+000,-4.0000000E+000, 5.0794404E+001, 2.8834714E+001, 4.3478765E+001
 9.0010350E+001,-2.0000000E+000,-4.0000000E+000, 4.6830267E+001, 2.7647433E+001, 5.3712831E+001
 9.1006725E+001,-2.0000000E+000,-4.0000000E+000, 5.7098770E+001, 2.7419884E+001, 5.4814509E+001
 9.2003100E+001,-2.0000000E+000,-4.0000000E+000, 4.6804772E+001, 2.7425644E+001, 3.6956524E+001
 9.3013709E+001,-2.0000000E+000,-4.0000000E+000, 3.8981396E+001, 2.6991398E+001, 2.9675938E+001
 9.4010084E+001,-2.0000000E+000,-4.0000000E+000, 3.5608833E+001, 2.9696114E+001, 2.8405297E+001
 9.5006458E+001,-2.0000000E+000,-4.0000000E+000, 2.7910061E+001, 3.2637989E+001, 3.3779382E+001
 9.6002833E+001,-2.0000000E+000,-4.0000000E+000, 3.5824112E+001, 3.4696411E+001, 4.3253300E+001
 9.7013442E+001,-2.0000000E+000,-4.0000000E+000, 3.2346107E+001, 3.4975488E+001, 5.7450528E+001
 9.8009817E+001,-2.0000000E+000,-4.0000000E+000, 4.3318237E+001, 3.2605075E+001, 5.9236638E+001
 9.9006192E+001,-2.0000000E+000,-4.0000000E+000, 2.9963408E+001, 3.0416270E+001, 4.8867147E+001
 1.0000000E+002,-2.0000000E+000,-4.0000000E+000, 3.5183548E+001, 2.8871366E+001, 3.7273519E+001
