Stations,Address
EAST MAITLAND Fire Station,"Cnr Chelmsford Drive & Newcastle Street, East Maitland (Metford) NSW 2323"
KEARSLEY Fire Station,"26 Allandale Street, Kearsley NSW 2325"
KURRI KURRI Fire Station,"119 Lang Street, Kurri Kurri NSW 2327"
MAITLAND Fire Station,"14 Church Street, Maitland NSW 2320"
MORPETH Fire Station,"169 Swan Street, Morpeth NSW 2321"
SALAMANDER BAY Fire Station,"194 Salamander way, Salamander Bay NSW 2317"
PAXTON Fire Station,"3 Standford Street, Paxton NSW 2327"
RAYMOND TERRACE Fire Station,"3-5 Leisure Way, Raymond Terrace NSW 2324"
RUTHERFORD Fire Station,"2 Mustang Drive, Rutherford NSW 2320"
ALBION PARK Fire Station,"3 Russell Street, Albion Park NSW 2527"
BALGOWNIE Fire Station,"117 Balgownie Road, Balgownie NSW 2519"
BULLI Fire Station,"325-327 Princes Highway, Bulli NSW 2516"
COLEDALE Fire Station,"759 Lawrence Hargrave Drive, Coledale NSW 2513"
CORRIMAL Fire Station,"120 Princes Highway, Corrimal NSW 2518"
DAPTO Fire Station,"88 Byamee Street, Dapto NSW 2530"
HELENSBURGH Fire Station,"91 Walker Street, Helensburgh NSW 2508"
KIAMA Fire Station,"210 Terralong Street, Kiama NSW 2533"
SCARBOROUGH Fire Station,"Wilson Street, Scarborough NSW 2511"
SHELLHARBOUR Fire Station,"Wattle Road, Shellharbour NSW 2529"
THIRROUL Fire Station,"240 Lawrence Hargrave Drive, Thirroul NSW 2515"
UNANDERRA Fire Station,"80 Central Road, Unanderra NSW 2526"
WARRAWONG Fire Station,"48-50 King Street, Warrawong NSW 2502"
WOLLONGONG Fire Station,"32-36 Denison Street, Wollongong NSW 2500"
ARNCLIFFE Fire Station,"100-106 West Botany Street, Arncliffe NSW 2205"
BOTANY Fire Station,"3 Banksia Street, Botany NSW 2019"
BUNDEENA Fire Station,"48 Bundeena Drive, Bundeena NSW 2230"
CRONULLA Fire Station,"91 The Kingsway, Cronulla NSW 2230"
ENGADINE Fire Station,"8 Preston Avenue, Engadine NSW 2233"
HURSTVILLE Fire Station,"5-9 Butler Rd, Hurstville NSW 2220"
KOGARAH Fire Station,"26 Gray Street, Kogarah NSW 2217"
MAROUBRA Fire Station,"Cnr Maroubra Road & Flower Street, Maroubra NSW 2035"
MASCOT Fire Station,"139-141 Coward Street, Mascot NSW 2020"
MATRAVILLE Fire Station,"Cnr Beauchamp & Bunnerong Roads, Matraville NSW 2036"
MENAI Fire Station,"297 Menai Road, Menai NSW 2234"
MIRANDA Fire Station,"242 Port Hacking Road, Miranda NSW 2228"
MORTDALE Fire Station,"38 Morts Road, Mortdale NSW 2223"
RANDWICK Fire Station,"4 The Avenue, Randwick NSW 2031"
RIVERWOOD Fire Station,"136A Belmore Road, Riverwood NSW 2210"
SUTHERLAND Fire Station,"2 Moore Street, Sutherland NSW 2232"
