s,mol/mol,mol/mol,mol/mol,mol/mol
Time,"CO_VolumeFraction00","CO_VolumeFraction01","CO_VolumeFraction02","CO_VolumeFraction03"
 3.6902850E+002, 1.3023540E-003, 1.3423740E-003, 1.2849469E-003, 1.3166918E-003
 3.7200435E+002, 1.2647649E-003, 1.3132135E-003, 1.2880972E-003, 1.1969412E-003
 3.7500404E+002, 1.2936217E-003, 1.3503287E-003, 1.2975493E-003, 1.3292332E-003
 3.7802507E+002, 1.3491247E-003, 1.3090898E-003, 1.3473056E-003, 1.3271262E-003
 3.8100026E+002, 1.3213115E-003, 1.3149235E-003, 1.3306982E-003, 1.2932722E-003
 3.8400637E+002, 1.3372272E-003, 1.3433151E-003, 1.3516772E-003, 1.3415322E-003
 3.8702312E+002, 1.3491311E-003, 1.3429774E-003, 1.3521399E-003, 1.3423290E-003
 3.9000687E+002, 1.3418989E-003, 1.3341233E-003, 1.3541697E-003, 1.3556807E-003
 3.9300957E+002, 1.3557545E-003, 1.3507174E-003, 1.3711594E-003, 1.3618677E-003
 3.9601318E+002, 1.4259670E-003, 1.3879808E-003, 1.4113398E-003, 1.3560040E-003
 3.9902828E+002, 1.3917064E-003, 1.3651933E-003, 1.3959007E-003, 1.3628557E-003
 4.0201856E+002, 1.4219567E-003, 1.4003811E-003, 1.4238850E-003, 1.3995063E-003
 4.0502539E+002, 1.3749846E-003, 1.3850631E-003, 1.3827741E-003, 1.3878209E-003
 4.0800557E+002, 1.3641345E-003, 1.3958864E-003, 1.3696472E-003, 1.3937715E-003
 4.1102200E+002, 1.5082154E-003, 1.4334586E-003, 1.4547123E-003, 1.5108207E-003
 4.1400316E+002, 1.3240608E-003, 1.4278248E-003, 1.4300319E-003, 1.4331481E-003
 4.1702691E+002, 1.3430589E-003, 1.4121238E-003, 1.4031507E-003, 1.4171426E-003
 4.2000965E+002, 1.4296505E-003, 1.4106710E-003, 1.4340713E-003, 1.4173249E-003
 4.2301063E+002, 1.4092925E-003, 1.3772602E-003, 1.4321453E-003, 1.4017191E-003
 4.2601274E+002, 1.4575877E-003, 1.4423650E-003, 1.4477881E-003, 1.4309194E-003
 4.2902957E+002, 1.4191863E-003, 1.4005251E-003, 1.4128292E-003, 1.4000040E-003
 4.3202214E+002, 1.4290333E-003, 1.3774010E-003, 1.4236449E-003, 1.3691377E-003
 4.3500015E+002, 1.3175521E-003, 1.3487134E-003, 1.3176785E-003, 1.3700125E-003
 4.3803537E+002, 1.3640686E-003, 1.3720964E-003, 1.3567883E-003, 1.3881459E-003
 4.4100774E+002, 1.4194639E-003, 1.4061782E-003, 1.4221465E-003, 1.4122148E-003
 4.4400367E+002, 1.4421728E-003, 1.4059885E-003, 1.4339082E-003, 1.4013854E-003
 4.4703415E+002, 1.4395874E-003, 1.4273228E-003, 1.4354761E-003, 1.3943765E-003
 4.5002245E+002, 1.3956040E-003, 1.3732142E-003, 1.3993181E-003, 1.3722080E-003
 4.5304120E+002, 1.4220305E-003, 1.3820892E-003, 1.4223760E-003, 1.3794254E-003
 4.5603610E+002, 1.4086445E-003, 1.3735510E-003, 1.4106748E-003, 1.3979897E-003
 4.5901511E+002, 1.4086227E-003, 1.4288499E-003, 1.4036950E-003, 1.4400777E-003
 4.6203958E+002, 1.4395170E-003, 1.4363756E-003, 1.4390744E-003, 1.4341525E-003
 4.6501604E+002, 1.4263635E-003, 1.3966659E-003, 1.4290913E-003, 1.3749906E-003
 4.6800723E+002, 1.3953278E-003, 1.3742332E-003, 1.3915862E-003, 1.3733987E-003
 4.7103208E+002, 1.3486110E-003, 1.3613173E-003, 1.3512959E-003, 1.3572458E-003
 4.7400877E+002, 1.4113318E-003, 1.3884385E-003, 1.4249310E-003, 1.3803653E-003
 4.7702416E+002, 1.4366785E-003, 1.3903691E-003, 1.4342100E-003, 1.3618451E-003
 4.8000119E+002, 1.3803599E-003, 1.3555176E-003, 1.3817992E-003, 1.3607043E-003
 4.8301050E+002, 1.3628610E-003, 1.3465591E-003, 1.3609675E-003, 1.3464715E-003
 4.8603197E+002, 1.3501973E-003, 1.3591881E-003, 1.3522703E-003, 1.3562076E-003
 4.8900017E+002, 1.3657420E-003, 1.3550525E-003, 1.3794929E-003, 1.3802800E-003
 4.9201021E+002, 1.3562456E-003, 1.3181845E-003, 1.3612460E-003, 1.3179524E-003
 4.9502902E+002, 1.3351378E-003, 1.3318029E-003, 1.3496253E-003, 1.3541616E-003
 4.9801527E+002, 1.4017630E-003, 1.3643192E-003, 1.4034892E-003, 1.3621181E-003
 5.0101037E+002, 1.3682463E-003, 1.3542577E-003, 1.3619497E-003, 1.3457814E-003
 5.0404011E+002, 1.3614498E-003, 1.3661865E-003, 1.3658261E-003, 1.3780178E-003
 5.0700954E+002, 1.3603463E-003, 1.3340667E-003, 1.3466298E-003, 1.3395550E-003
 5.1001928E+002, 1.3769350E-003, 1.3547975E-003, 1.3701824E-003, 1.3536731E-003
 5.1300330E+002, 1.3883160E-003, 1.3558966E-003, 1.3842640E-003, 1.3677874E-003
 5.1602022E+002, 1.3518499E-003, 1.3295236E-003, 1.3489170E-003, 1.3256265E-003
 5.1900271E+002, 1.3609203E-003, 1.3174207E-003, 1.3754224E-003, 1.3166140E-003
 5.2202780E+002, 1.4081543E-003, 1.3702113E-003, 1.3765553E-003, 1.2674500E-003
 5.2502496E+002, 1.3604414E-003, 1.3645080E-003, 1.3699621E-003, 1.3762724E-003
 5.2803776E+002, 1.3998384E-003, 1.3887591E-003, 1.3934691E-003, 1.3892496E-003
 5.3100907E+002, 1.4379979E-003, 1.4401411E-003, 1.4249179E-003, 1.4273649E-003
 5.3402023E+002, 1.3693089E-003, 1.3706730E-003, 1.3587897E-003, 1.3681704E-003
 5.3702768E+002, 1.3637665E-003, 1.3662558E-003, 1.3565678E-003, 1.3642600E-003
 5.4000170E+002, 1.3480937E-003, 1.3406337E-003, 1.3533481E-003, 1.3492001E-003
 5.4303705E+002, 1.3467770E-003, 1.3250450E-003, 1.3529804E-003, 1.3175321E-003
 5.4603043E+002, 1.3452059E-003, 1.3003428E-003, 1.3481096E-003, 1.3184481E-003
 5.4902321E+002, 1.3467220E-003, 1.3296893E-003, 1.3500690E-003, 1.3498615E-003
 5.5200199E+002, 1.3864054E-003, 1.3865214E-003, 1.3889386E-003, 1.3773606E-003
 5.5502605E+002, 1.4245642E-003, 1.3852831E-003, 1.4129855E-003, 1.3707059E-003
 5.5800349E+002, 1.3727427E-003, 1.3579381E-003, 1.3698164E-003, 1.3620578E-003
 5.6102213E+002, 1.3662598E-003, 1.3355097E-003, 1.3756894E-003, 1.3505977E-003
 5.6402040E+002, 1.3710119E-003, 1.3689807E-003, 1.3645565E-003, 1.3745929E-003
 5.6701825E+002, 1.3566127E-003, 1.3831033E-003, 1.3419566E-003, 1.3851478E-003
 5.7001711E+002, 1.3810583E-003, 1.3709514E-003, 1.3848498E-003, 1.3791807E-003
 5.7302119E+002, 1.3686833E-003, 1.3851300E-003, 1.3561474E-003, 1.3812803E-003
 5.7603711E+002, 1.3630914E-003, 1.3735975E-003, 1.3672606E-003, 1.3774302E-003
 5.7903141E+002, 1.3568182E-003, 1.3688372E-003, 1.3646315E-003, 1.3887258E-003
 5.8202620E+002, 1.3909587E-003, 1.3984200E-003, 1.4017232E-003, 1.4045469E-003
 5.8501889E+002, 1.3888406E-003, 1.3785480E-003, 1.3900144E-003, 1.3548636E-003
 5.8800288E+002, 1.3553431E-003, 1.3470415E-003, 1.3521907E-003, 1.3304114E-003
 5.9102712E+002, 1.3788095E-003, 1.3651345E-003, 1.3859247E-003, 1.3448252E-003
 5.9403508E+002, 1.3428146E-003, 1.3377243E-003, 1.3345824E-003, 1.3335852E-003
 5.9703330E+002, 1.3698814E-003, 1.3707561E-003, 1.3705449E-003, 1.3917384E-003
 6.0000000E+002, 1.4176437E-003, 1.4225135E-003, 1.4013870E-003, 1.4146690E-003
